ind_min,ind_max,ind_mean,ind_median,ind_mode,ind_stdev,ind_variance,ind_pstdev,ind_pvariance,ind_quantiles
5,64,22.363636363636363,21.0,10,13.868429375143148,192.33333333333334,13.811002919878504,190.74380165289256,"[10.0, 21.0, 32.5]"
6,97,38.38805970149254,38.5,43,16.85181342632915,283.9836157558074,16.78881577244839,281.86433504121186,"[28.0, 38.5, 50.0]"
5,65,18.403726708074533,14.0,10,11.456100384722749,131.24223602484471,11.420467015712997,130.42706685698855,"[10.0, 14.0, 27.5]"
5,55,28.68103448275862,30.0,32,11.76701294735195,138.46259370314843,11.716183280146454,137.26895065398335,"[22.25, 30.0, 37.0]"
5,53,25.382608695652173,27.0,35,10.900332047650958,118.81723874904652,10.85283582150859,117.78404536862004,"[16.0, 27.0, 33.0]"
6,167,37.113821138211385,35.0,35,18.946950640087447,358.98693855791015,18.869773330951922,356.0683455615044,"[28.0, 35.0, 45.0]"
6,52,21.540983606557376,22.0,10,11.185252644016265,125.10987671047283,11.13931712080072,124.08438591776404,"[11.0, 22.0, 28.25]"
21,76,51.379629629629626,52.5,53,10.379452736723659,107.73303911388024,10.3312879629762,106.7355109739369,"[44.25, 52.5, 60.0]"
5,180,44.708333333333336,43.0,55,24.166925044499198,584.0402661064426,24.06601886247264,579.1732638888889,"[33.25, 43.0, 55.0]"
