th_min,th_max,th_mean,th_median,th_mode,th_stdev,th_variance,th_pstdev,th_pvariance,th_quantiles
6,80,23.867924528301888,23.0,22,13.232050175308013,175.08715184186883,13.169486939833874,173.43538625845497,"[12.0, 23.0, 32.0]"
5,93,45.11290322580645,47.0,64,20.50865757199122,420.6050354051928,20.425793970203838,417.2130593132154,"[32.0, 47.0, 61.0]"
5,136,16.902985074626866,10.0,10,18.721492374717826,350.4942767366177,18.651505242359057,347.8786478057474,"[8.0, 10.0, 17.25]"
6,96,32.49122807017544,31.0,26,16.923694242011145,286.4114267970812,16.849304017088205,283.8990458602647,"[20.0, 31.0, 45.25]"
6,60,31.714285714285715,31.5,31,12.188037682427083,148.54826254826256,12.133504801808511,147.2219387755102,"[24.0, 31.5, 41.0]"
8,112,39.62809917355372,40.0,44,16.720313110806746,279.56887052341597,16.651077562433148,277.2583839901646,"[30.0, 40.0, 50.0]"
6,81,30.982456140350877,32.5,41,16.573773106204133,274.6899549759354,16.500921003609907,272.28039396737455,"[16.0, 32.5, 44.25]"
33,90,65.66981132075472,67.0,69,11.9735595201723,143.36612758310872,11.91694662845866,142.01361694553222,"[59.0, 67.0, 73.0]"
5,107,38.69911504424779,41.0,42,19.777731415006794,391.15865992414666,19.690024856837308,387.697078862871,"[21.0, 41.0, 51.0]"
