,p_at20,p_is20
0,117.42409668418368,99.46506160630886
1,133.62454365245958,155.08195459501593
2,130.5476229753711,118.04186604222508
3,143.98837212866258,72.82966828334709
4,116.76034420741088,141.78091295139356
5,46.7447112788135,97.11924567001242
6,120.37866522833858,105.08441462611252
7,97.85028848339464,113.31744456705442
8,50.199515384108324,164.534222435611
9,70.8468176687348,75.66362811097116
10,124.31322757773992,146.08895382986003
11,87.02251761474814,99.07995721225322
12,91.9153504491759,86.97641384335387
13,56.51281211338118,132.16748169529026
14,55.82197643478609,152.28248232846548
15,108.84495396866299,146.99740398426945
16,67.34672747452181,77.12254994096408
17,75.90805070044922,102.31665837154765
18,70.0457609420574,123.75970496778216
19,100.78845266892394,123.60277229027893
20,101.50308977467586,129.4477649288136
21,121.91365698068337,147.55045673908714
22,129.46557875228004,102.95333298601021
