at20_s27_l,is20_27_l
40,105
59,112
97,112
56,100
43,129
47,103
53,104
10,48
38,113
64,116
76,84
72,99
60,87
65,96
60,88
51,94
61,86
62,88
59,89
67,83
53,108
68,103
77,95
60,98
62,113
51,108
54,126
40,137
75,102
54,109
51,115
66,102
78,82
93,108
68,106
75,84
59,100
51,86
64,110
66,88
74,99
118,81
75,96
51,100
56,116
52,102
94,104
64,105
85,106
64,86
78,101
67,105
39,111
48,99
53,93
51,99
65,91
68,90
57,98
54,120
64,83
69,95
89,99
69,116
60,109
59,127
53,117
39,114
54,104
51,108
52,123
90,124
89,127
86,129
80,129
71,120
122,97
96,124
91,98
85,96
68,106
78,98
57,120
89,105
59,122
37,150
84,111
57,123
32,136
85,146
18,145
69,25
36,254
53,124
98,111
48,107
40,147
62,125
55,125
68,100
43,165
75,127
55,101
47,124
39,125
69,99
51,154
84,122
56,130
69,115
48,116
73,106
59,136
72,109
55,133
84,103
64,114
67,111
53,146
84,95
65,118
81,106
87,88
88,127
68,139
51,131
103,107
48,96
